2024-02-14 07:19:09.766 +00:00 [INF] ******************************************************Start Floor Layout Calculation for :9x3
2024-02-14 07:19:09.845 +00:00 [INF] ******Board Permutations
2024-02-14 07:19:09.847 +00:00 [INF] Total Row Permutations  : 2^3 = 8
2024-02-14 07:19:09.849 +00:00 [INF] 2,2,2
2024-02-14 07:19:09.851 +00:00 [INF] 2,2,3
2024-02-14 07:19:09.854 +00:00 [INF] 2,3,2
2024-02-14 07:19:09.854 +00:00 [INF] 2,3,3
2024-02-14 07:19:09.854 +00:00 [INF] 3,2,2
2024-02-14 07:19:09.855 +00:00 [INF] 3,2,3
2024-02-14 07:19:09.855 +00:00 [INF] 3,3,2
2024-02-14 07:19:09.855 +00:00 [INF] 3,3,3
2024-02-14 07:19:09.855 +00:00 [INF] Total Row Permutations  : 2^4 = 16
2024-02-14 07:19:09.855 +00:00 [INF] 2,2,2,2
2024-02-14 07:19:09.855 +00:00 [INF] 2,2,2,3
2024-02-14 07:19:09.855 +00:00 [INF] 2,2,3,2
2024-02-14 07:19:09.856 +00:00 [INF] 2,2,3,3
2024-02-14 07:19:09.856 +00:00 [INF] 2,3,2,2
2024-02-14 07:19:09.856 +00:00 [INF] 2,3,2,3
2024-02-14 07:19:09.856 +00:00 [INF] 2,3,3,2
2024-02-14 07:19:09.856 +00:00 [INF] 2,3,3,3
2024-02-14 07:19:09.856 +00:00 [INF] 3,2,2,2
2024-02-14 07:19:09.856 +00:00 [INF] 3,2,2,3
2024-02-14 07:19:09.856 +00:00 [INF] 3,2,3,2
2024-02-14 07:19:09.856 +00:00 [INF] 3,2,3,3
2024-02-14 07:19:09.856 +00:00 [INF] 3,3,2,2
2024-02-14 07:19:09.856 +00:00 [INF] 3,3,2,3
2024-02-14 07:19:09.856 +00:00 [INF] 3,3,3,2
2024-02-14 07:19:09.856 +00:00 [INF] 3,3,3,3
2024-02-14 07:19:09.856 +00:00 [INF] *****Valid Rows: 5
2024-02-14 07:19:09.857 +00:00 [INF] 3,3,3 | 2,2,2,3 | 2,2,3,2 | 2,3,2,2 | 3,2,2,2 | 
2024-02-14 07:19:09.858 +00:00 [INF] ******Floor Permutations
2024-02-14 07:19:09.858 +00:00 [INF] Total Table Permutations : 5^3 = 125
2024-02-14 07:19:09.859 +00:00 [INF] 3,3,3 | 3,3,3 | 3,3,3 | 
2024-02-14 07:19:09.862 +00:00 [INF] 3,3,3 | 3,3,3 | 2,2,2,3 | 
2024-02-14 07:19:09.862 +00:00 [INF] 3,3,3 | 3,3,3 | 2,2,3,2 | 
2024-02-14 07:19:09.862 +00:00 [INF] 3,3,3 | 3,3,3 | 2,3,2,2 | 
2024-02-14 07:19:09.862 +00:00 [INF] 3,3,3 | 3,3,3 | 3,2,2,2 | 
2024-02-14 07:19:09.862 +00:00 [INF] 3,3,3 | 2,2,2,3 | 3,3,3 | 
2024-02-14 07:19:09.862 +00:00 [INF] 3,3,3 | 2,2,2,3 | 2,2,2,3 | 
2024-02-14 07:19:09.863 +00:00 [INF] 3,3,3 | 2,2,2,3 | 2,2,3,2 | 
2024-02-14 07:19:09.863 +00:00 [INF] 3,3,3 | 2,2,2,3 | 2,3,2,2 | 
2024-02-14 07:19:09.863 +00:00 [INF] 3,3,3 | 2,2,2,3 | 3,2,2,2 | 
2024-02-14 07:19:09.863 +00:00 [INF] 3,3,3 | 2,2,3,2 | 3,3,3 | 
2024-02-14 07:19:09.863 +00:00 [INF] 3,3,3 | 2,2,3,2 | 2,2,2,3 | 
2024-02-14 07:19:09.863 +00:00 [INF] 3,3,3 | 2,2,3,2 | 2,2,3,2 | 
2024-02-14 07:19:09.864 +00:00 [INF] 3,3,3 | 2,2,3,2 | 2,3,2,2 | 
2024-02-14 07:19:09.864 +00:00 [INF] 3,3,3 | 2,2,3,2 | 3,2,2,2 | 
2024-02-14 07:19:09.864 +00:00 [INF] 3,3,3 | 2,3,2,2 | 3,3,3 | 
2024-02-14 07:19:09.864 +00:00 [INF] 3,3,3 | 2,3,2,2 | 2,2,2,3 | 
2024-02-14 07:19:09.864 +00:00 [INF] 3,3,3 | 2,3,2,2 | 2,2,3,2 | 
2024-02-14 07:19:09.864 +00:00 [INF] 3,3,3 | 2,3,2,2 | 2,3,2,2 | 
2024-02-14 07:19:09.864 +00:00 [INF] 3,3,3 | 2,3,2,2 | 3,2,2,2 | 
2024-02-14 07:19:09.864 +00:00 [INF] 3,3,3 | 3,2,2,2 | 3,3,3 | 
2024-02-14 07:19:09.865 +00:00 [INF] 3,3,3 | 3,2,2,2 | 2,2,2,3 | 
2024-02-14 07:19:09.865 +00:00 [INF] 3,3,3 | 3,2,2,2 | 2,2,3,2 | 
